player,position,team,vor,points,overallECR,overallRank,positionRank,dropoff,adp,adpdiff,auctionValue,upper,lower,risk
Jamaal Charles,RB,KC,104.0612,232.917,2,1,1,3.8443,3.9625,2.9625,46.3667,239.677,226.1571,3.292
Eddie Lacy,RB,GB,100.7133,229.5691,3,3,2,2.2547,3.7675,0.7675,47.1667,235.3735,223.7647,3.9853
Adrian Peterson,RB,MIN,99.7205,228.5763,1,4,3,3.9899,5.435,1.435,45.2667,233.1792,223.9735,2.8191
Marshawn Lynch,RB,SEA,97.1967,226.0525,5,5,4,4.0835,7.645,2.645,44.5,232.9521,219.1529,2.243
Antonio Brown,WR,PIT,102.529,222.6912,6,2,1,7.7235,6.92,4.92,46.1333,227.2628,218.1197,3.1716
LeVeon Bell,RB,PIT,94.2645,223.1203,4,8,5,6.8599,4.46,-3.54,46.6,232.0265,214.2141,4.5259
Dez Bryant,WR,DAL,92.5557,212.718,8,9,4,11.2565,10.0525,1.0525,42.5333,217.6355,207.8005,3.1319
Matt Forte,RB,CHI,82.1905,211.0463,15,12,8,11.6294,12.465,0.465,38.9333,215.5734,206.5192,2.9795
Demaryius Thomas,WR,DEN,94.4218,214.5841,9,7,3,7.1136,13.2275,6.2275,39.1,220.2366,208.9316,3.3565
LeSean McCoy,RB,BUF,67.6453,196.5011,17,21,11,18.8374,13.565,-7.435,38.2,202.4541,190.5481,2.3499
Odell Beckham,WR,NYG,95.1892,215.3514,11,6,2,1.7004,11.015,5.015,43.3,222.5916,208.1113,4.578
C.J. Anderson,RB,DEN,82.8473,211.7031,14,11,7,5.4218,15.56,4.56,34.6,220.6927,202.7135,3.0525
DeMarco Murray,RB,PHI,72.6605,201.5163,16,19,9,4.607,13.4825,-5.5175,39.9,208.9799,194.0526,3.1667
Rob Gronkowski,TE,NE,78.9115,182.311,7,17,1,49.5676,11.5825,-5.4175,43,190.4609,174.161,4.6817
Andrew Luck,QB,IND,76.3074,323.8679,22,18,2,37.2446,15.5925,-2.4075,40.1333,331.9673,315.7685,2.2863
Jeremy Hill,RB,CIN,68.4617,197.3175,18,20,10,7.85,20.105,0.105,31.2667,202.9975,191.6374,2.5455
Julio Jones,WR,ATL,82.0607,202.223,12,13,5,2.2136,14.565,1.565,38.6,207.4559,196.99,4.3681
Aaron Rodgers,QB,GB,79.4741,327.0345,23,15,1,16.3511,17.5075,2.5075,37.1333,334.1207,319.9484,2.3848
Calvin Johnson,WR,DET,79.1565,199.3187,13,16,7,17.8522,16.575,0.575,35.6333,205.5637,193.0737,3.9386
Jordy Nelson,WR,GB,80.5377,200.7,19,14,6,9.8465,19.2875,5.2875,34.4333,206.4614,194.9386,3.9504
Randall Cobb,WR,GB,60.3825,180.5447,24,23,9,5.2456,23.9725,0.9725,31.6667,184.1479,176.9415,3.4011
Alshon Jeffery,WR,CHI,57.4734,177.6357,21,24,10,5.5103,24.315,0.315,31.3667,181.1657,174.1056,3.3921
A.J. Green,WR,CIN,62.2261,182.3883,20,22,8,3.2981,21.1625,-0.8375,33.8667,186.6604,178.1162,4.2349
Mike Evans,WR,TB,52.8004,172.9626,26,26,11,5.7342,27.26,1.26,30.4667,178.7162,167.209,3.0759
Justin Forsett,RB,BAL,53.5781,182.434,25,25,12,9.8827,33.96,8.96,22.1333,187.895,176.9729,2.4731
T.Y. Hilton,WR,IND,51.1259,171.2882,27,27,12,8.3916,27.9575,0.9575,29.4333,177.2801,165.2962,3.4352
Alfred Morris,RB,WAS,44.0376,172.8934,30,30,13,3.5041,34.1775,4.1775,24.7,178.1519,167.6349,2.4256
Mark Ingram,RB,NO,43.3532,172.209,31,31,14,6.1069,35.5175,4.5175,23.0333,180.8674,163.5506,2.5105
Lamar Miller,RB,MIA,36.7788,165.6346,36,35,16,3.4445,40.035,5.035,20.3333,172.0067,159.2625,1.9779
Frank Gore,RB,IND,37.7137,166.5696,28,34,15,1.9226,41.6225,7.6225,21.2667,173.2184,159.9207,1.9714
Melvin Gordon,RB,SD,31.8651,160.7209,33,41,18,7.5817,30.54,-10.46,26.6333,169.9135,151.5283,2.4588
Russell Wilson,QB,SEA,49.9385,297.4989,41,28,3,24.2395,39.65,11.65,23.7667,301.7488,293.249,2.2103
Jimmy Graham,TE,SEA,36.2541,139.6536,32,38,2,15.6562,28.795,-9.205,27.1,146.3177,132.9895,3.7549
Emmanuel Sanders,WR,DEN,43.0064,163.1686,34,32,13,3.5306,33.46,1.46,24.5,168.8421,157.4951,3.4983
DeAndre Hopkins,WR,HOU,42.4623,162.6245,29,33,14,6.8962,35.53,2.53,23.7333,167.7839,157.4651,3.7423
Jordan Matthews,WR,PHI,36.4892,156.6514,40,37,15,3.6893,44.79,7.79,18.4667,163.8505,149.4523,2.6442
Brandin Cooks,WR,NO,30.9567,151.1189,37,42,17,6.3893,38.4825,-3.5175,20.9333,155.3308,146.907,2.7087
Carlos Hyde,RB,SF,34.8034,163.6593,38,39,17,6.0442,37.545,-1.455,24.6333,172.3309,154.9876,3.1257
Kelvin Benjamin,WR,CAR,34.643,154.8052,35,40,16,5.3646,35.98,-4.02,26.5667,159.2192,150.3912,3.4141
Peyton Manning,QB,DEN,28.1873,275.7477,44,44,4,5.6587,43.6275,-0.3725,20.7,281.6619,269.8336,1.5531
Drew Brees,QB,NO,23.2106,270.7711,55,47,5,1.5711,50.5175,3.5175,19.7,279.2177,262.3244,1.4403
DeSean Jackson,WR,WAS,27.6001,147.7624,46,45,18,6.3662,55.93,10.93,15.4333,154.6771,140.8476,2.7518
Golden Tate,WR,DET,20.9331,141.0954,53,54,20,1.9289,56.57,2.57,13.6333,145.9754,136.2153,2.1008
Greg Olsen,TE,CAR,22.4338,125.8332,50,49,3,8.791,56.3975,7.3975,13.6333,130.4645,121.202,2.5757
Joseph Randle,RB,DAL,20.7496,149.6055,63,56,22,1.5265,71.6,15.6,9.0333,159.7197,139.4912,1.8946
Andre Ellington,RB,ARI,25.6535,154.5093,45,46,19,3.6861,53.9775,7.9775,15.2667,160.1529,148.8657,3.6843
Latavius Murray,RB,OAK,22.9133,151.7691,43,48,20,2.0277,50.625,2.625,16.5333,162.5339,141.0043,3.5608
Travis Kelce,TE,KC,18.7621,122.1616,49,60,4,14.0684,54.1625,-5.8375,14.3,127.8,116.5231,3.1445
Keenan Allen,WR,SD,21.5347,141.6969,47,51,19,1.282,53.1225,2.1225,15.0333,146.7924,136.6015,3.328
Jonathan Stewart,RB,CAR,20.1412,148.997,39,58,23,3.817,54.9625,-3.0375,15.8667,155.6022,142.3918,3.0605
Ben Roethlisberger,QB,PIT,21.4325,268.993,60,52,7,5.9969,62.5125,10.5125,15.3,276.869,261.1169,2.0056
Brandon Marshall,WR,NYJ,16.6974,136.8597,51,64,23,2.8412,59.1825,-4.8175,14.3,140.6563,133.0631,2.5419
Andre Johnson,WR,IND,14.8918,135.054,42,65,24,2.4311,53.065,-11.935,15.4333,141.9803,128.1278,2.6286
Sammy Watkins,WR,BUF,18.4362,138.5985,56,61,22,2.6416,48.1425,-12.8575,19.1,143.6151,133.5819,3.7174
Julian Edelman,WR,NE,19.5722,139.7344,48,59,21,2.0053,52.145,-6.855,15.6,143.4854,135.9835,3.8361
T.J. Yeldon,RB,JAC,18.305,147.1609,52,63,24,5.8533,59.4733,-3.5267,14.8667,153.768,140.5537,3.3015
Matt Ryan,QB,ATL,18.3686,265.929,66,62,8,9.1306,72.7525,10.7525,13.1667,270.0311,261.827,1.8618
Amari Cooper,WR,OAK,12.1007,132.2629,57,70,26,1.8139,49.675,-20.325,14.8333,139.0423,125.4835,2.7675
LeGarrette Blount,RB,NE,21.0216,149.8774,59,53,21,0.5762,82.25,29.25,9.9667,163.4149,136.3399,2.8668
Todd Gurley,RB,STL,10.5603,139.4161,58,73,26,7.0041,42.0575,-30.9425,23.4667,147.5016,131.3307,2.9483
Jeremy Maclin,WR,KC,12.8208,132.983,67,68,25,1.4586,67.1375,-0.8625,9.9333,138.0582,127.9078,2.3563
Cam Newton,QB,CAR,21.8464,269.4069,64,50,6,1.9459,67.89,17.89,15.2,275.9073,262.9064,3.172
Joique Bell,RB,DET,14.3433,143.1991,65,67,25,7.1201,67.305,0.305,10.4,152.6173,133.7808,3.1894
Martavis Bryant,WR,PIT,10.6237,130.7859,62,72,27,1.8723,61.69,-10.31,13.0667,138.6108,122.961,2.7884
Vincent Jackson,WR,TB,9.9498,130.112,61,74,28,2.9793,73.29,-0.71,10.2,135.1139,125.1101,2.2066
Tony Romo,QB,DAL,12.5026,260.0631,69,69,9,11.0022,81.4475,12.4475,11.8,262.9762,257.15,1.8833
Martellus Bennett,TE,CHI,8.5235,111.923,71,75,5,7.7517,71.92,-3.08,9.1667,115.7102,108.1357,2.5695
Michael Floyd,WR,ARI,6.3882,126.5504,77,79,30,0.7582,89.71,10.71,8.1333,132.6124,120.4884,1.6537
Torrey Smith,WR,SF,7.5528,127.7151,94,77,29,1.5179,99.7075,22.7075,6.8667,133.6039,121.8263,2.2037
Roddy White,WR,ATL,5.578,125.7403,68,83,32,1.4181,86.745,3.745,7.8,129.6301,121.8504,2.158
Jarvis Landry,WR,MIA,4.5146,124.6768,86,85,33,1.4198,77.1225,-7.8775,8.4333,130.0998,119.2538,2.1947
Brandon LaFell,WR,NE,5.6818,125.844,84,82,31,0.6355,99.89,17.89,7.4,129.8388,121.8493,2.3961
Anquan Boldin,WR,SF,3.8054,123.9676,93,90,34,2.0782,124.4525,34.4525,4.4333,130.3123,117.623,1.3883
Ryan Tannehill,QB,MIA,5.9734,253.5339,76,80,10,8.9602,101.3675,21.3675,9.3333,257.3419,249.7259,1.9159
Tevin Coleman,RB,ATL,3.2265,132.0823,75,91,28,2.8352,68.4675,-22.5325,12.0667,140.7687,123.3959,2.7886
Rashad Jennings,RB,NYG,3.8861,132.7419,72,88,27,1.7355,80.8825,-7.1175,9.3667,141.7273,123.7565,2.8457
Mike Wallace,WR,MIN,2.3842,122.5465,89,93,35,1.651,85.41,-7.59,8.2,127.8837,117.2092,1.9463
Giovani Bernard,RB,CIN,1.0747,129.9305,70,97,29,1.612,67.42,-29.58,12.4333,137.0002,122.8608,3.2134
Jason Witten,TE,DAL,0.864,104.2634,95,100,6,1.2959,102.6825,2.6825,5.0333,107.706,100.8208,1.9943
Eric Decker,WR,NYJ,1.0701,121.2323,80,98,36,1.6051,99.6075,1.6075,7.4333,124.6511,117.8136,2.3882
Allen Robinson,WR,JAC,0.3963,120.5586,73,103,37,1.8818,80.6675,-22.3325,8.5667,128.7192,112.3979,2.4296
Zach Ertz,TE,PHI,0.6797,104.0792,87,102,7,2.9321,86.815,-15.185,5.9333,108.7438,99.4145,4.4802
Isaiah Crowell,RB,CLE,-0.2922,128.5636,79,105,30,1.0067,83.5875,-21.4125,8.4667,135.2801,121.8471,2.5022
C.J. Spiller,RB,NO,-0.7825,128.0734,54,106,31,7.1183,63.45,-42.55,12.7333,136.737,119.4097,2.7079
Nelson Agholor,WR,PHI,-1.4664,118.6958,99,108,38,0.7305,87.465,-20.535,8,127.093,110.2987,2.9777
Chris Ivory,RB,NYJ,-1.8152,127.0406,91,112,32,13.801,105.3975,-6.6025,5.1667,132.8944,121.1868,2.8469
Julius Thomas,TE,JAC,-1.5437,101.8558,92,110,8,3.3677,80.1,-29.9,6.8333,107.8809,95.8307,3.5315
Marques Colston,WR,NO,-1.5045,118.6577,97,109,39,1.7676,123.4,14.4,4.1667,122.8494,114.466,1.8297
Philip Rivers,QB,SD,-3.0007,244.5597,85,116,12,1.5307,112.615,-3.385,5.6333,250.3572,238.7622,1.5565
Matthew Stafford,QB,DET,-2.9727,244.5878,78,115,11,0.7281,94.695,-20.305,10,249.2081,239.9674,1.8284
Seahawks,DEF,SEA,-6,192.8095,137,129,1,13.2183,86.4325,-42.5675,3.9,206.0253,179.5937,12.4121
Delanie Walker,TE,TEN,-2.9612,100.4383,100,114,9,5.0424,127.9175,13.9175,4.0667,106.1465,94.7301,2.2077
Colin Kaepernick,QB,SF,-4.6621,242.8984,105,125,14,10.0857,130.095,5.095,5.1,249.3979,236.3988,1.5776
Larry Fitzgerald,WR,ARI,-2.8893,117.2729,82,113,40,1.8878,99.3,-13.7,5.8,123.1322,111.4136,1.8424
Eli Manning,QB,NYG,-4.4008,243.1597,74,123,13,4.606,105.3025,-17.6975,8.2333,249.4197,236.8997,1.4811
Charles Johnson,WR,MIN,-3.655,116.5073,98,120,41,4.8793,98.53,-21.47,5.1667,123.1131,109.9014,1.7847
Dwayne Allen,TE,IND,-6.8615,96.538,122,133,10,4.8515,125.5325,-7.4675,3.5333,102.1537,90.9222,2.338
Josh Hill,TE,NO,-14.2803,89.1192,113,165,12,0.8759,121.5275,-43.4725,4.0667,96.0111,82.2272,4.9168
John Brown,WR,ARI,-14.7632,105.3991,110,172,46,0.9874,121.7125,-50.2875,4.0333,112.119,98.6792,4.3225
Teddy Bridgewater,QB,MIN,-16.1442,231.4163,104,182,16,6.4658,122.2225,-59.7775,5.3333,239.1674,223.6652,3.1048
Coby Fleener,TE,IND,-14.8678,88.5316,149,174,13,1.8694,141.26,-32.74,1.6667,93.9522,83.111,3.8878
Stedman Bailey,WR,STL,-53.8516,66.3107,184,572,82,1.5265,218.07,-353.93,1,78.7439,53.8774,7.295
Bengals,DEF,CIN,-25.0792,173.7303,235,242,3,49.9443,160.66,-81.34,0.3333,209.8481,137.6125,9.5541
Taylor Gabriel,WR,CLE,-68.5834,51.5788,246,747,96,0.8596,275.23,-471.77,0.5,62.0324,41.1253,7.2112
Steve Smith,WR,BAL,-5.8993,114.263,88,128,42,6.2678,112.27,-15.73,5.1333,120.6701,107.8558,1.4935
Texans,DEF,HOU,-13.3575,185.452,177,156,2,35.9069,105.6175,-50.3825,2.5,211.5671,159.3369,7.1183
David Johnson,RB,ARI,-33.6594,95.1965,139,323,41,4.1003,111.8333,-211.1667,2.7667,112.2184,78.1745,7.7663
Kamar Aiken,WR,BAL,-71.6148,48.5474,null,780,101,1.1692,249.37,-530.63,0.5,59.859,37.2358,6.7777
DeVante Parker,WR,MIA,-26.3674,93.7949,null,251,56,0.0429,110.91,-140.09,4.4667,104.7615,82.8283,5.5005
Kendall Wright,WR,TEN,-13.165,106.9972,111,154,44,1.4218,129.8575,-24.1425,4.4,112.1951,101.7993,2.2699
Pierre Garcon,WR,WAS,-11.1692,108.993,107,148,43,2.6185,122.88,-25.12,4.6667,115.5294,102.4566,1.9099
Eddie Royal,WR,CHI,-46.2481,73.9141,192,477,68,0.3353,163.74,-313.26,1.5,84.7209,63.1073,5.9175
Allen Hurns,WR,JAC,-45.7559,74.4063,206,472,66,0.2786,219.01,-252.99,1.5,82.9159,65.8968,4.2168
Brian Quick,WR,STL,-21.5188,98.6435,134,215,53,2.5875,136.0025,-78.9975,1.6667,109.6638,87.6231,3.1041
Bobby Rainey,RB,TB,-85.8454,43.0104,null,941,81,0.7179,272.89,-668.11,0.5,55.6277,30.3931,5.5449
Terrance Williams,WR,DAL,-15.911,104.2513,131,179,48,0.61,128.4975,-50.5025,2.3333,108.5682,99.9343,2.1666
Dontrelle Inman,WR,SD,-103.2178,16.9445,null,1188,147,0.4271,251.3,-957.7,1,24.077,9.8119,7.1339
Kenny Stills,WR,MIA,-17.6693,102.4929,121,192,51,2.4519,130.91,-61.09,3.3333,108.2299,96.7559,2.3237
DeAnthony Thomas,WR,KC,-73.8946,46.2676,null,808,107,2.4112,294.06,-513.94,0.5,61.9612,30.5741,4.2524
Devonta Freeman,RB,ATL,-13.9862,114.8696,101,160,33,3.9738,107.1525,-52.8475,4.4,119.6745,110.0647,2.1648
Doug Baldwin,WR,SEA,-18.7237,101.4385,140,198,52,3.4289,150.635,-47.365,1.3333,106.3821,96.4949,2.0189
Victor Cruz,WR,NYG,-22.7865,97.3758,115,223,54,3.1103,102.355,-120.645,5.4,108.7705,85.9811,3.5799
Josh Huff,WR,PHI,-72.7246,47.4377,221,791,102,0.149,193.53,-597.47,2,57.7649,37.1105,5.9872
Duron Carter,WR,IND,-108.292,11.8703,null,1250,169,0.2062,167.52,-1123.48,1,19.389,4.3516,10.0782
Darren McFadden,RB,DAL,-24.9977,103.8581,119,239,37,4.1536,94.8625,-144.1375,6.5,117.1134,90.6027,3.845
Cecil Shorts,WR,HOU,-50.6174,69.5448,181,532,77,1.2088,216.78,-315.22,1.5,78.0933,60.9964,3.4176
Jonas Gray,RB,NE,-75.5927,53.2631,241,829,69,0.8523,173.23,-655.77,0.5,67.3025,39.2237,6.2038
Steve Johnson,WR,SD,-37.901,82.2612,162,357,62,4.7795,157.0533,-199.9467,2,92.8529,71.6695,3.4503
Malcom Floyd,WR,SD,-16.595,103.5672,154,186,50,1.6015,161.22,-24.78,1,108.1899,98.9445,1.4581
Marvin Jones,WR,CIN,-30.972,89.1902,146,300,60,4.7566,143.67,-156.33,2,97.5996,80.7808,3.0223
Albert Wilson,WR,KC,-67.0202,53.1421,252,722,94,1.1576,219.09,-502.91,0.5,61.6408,44.6434,4.2298
Marquess Wilson,WR,CHI,-87.0612,33.1011,226,957,116,2.9638,188.98,-768.02,2.5,42.7109,23.4913,6.3312
DeAnthony Thomas,WR,KC,-74.0671,54.7887,null,811,67,0.9514,294.06,-516.94,0.5,70.4822,39.0951,3.4257
Ty Montgomery,WR,GB,-101.8603,18.3019,null,1167,142,0.2568,104.46,-1083.54,0.5,25.5544,11.0495,13.0674
Nick Toon,WR,NO,-47.2695,72.8927,194,489,73,2.5709,185.615,-303.385,0.5,80.2258,65.5596,3.3809
Benny Cunningham,RB,STL,-76.2415,52.6143,255,837,70,0.8118,274.18,-562.82,1,62.6237,42.6049,3.5938
Breshad Perriman,WR,BAL,-14.4105,105.7518,106,166,45,0.7662,103.265,-62.735,4.4333,113.2863,98.2172,1.8281
Percy Harvin,WR,BUF,-26.3819,93.7803,127,252,57,0.5883,120.7425,-131.2575,4.8,99.1491,88.4115,2.8422
Doug Martin,RB,TB,-18.6738,110.182,96,197,35,4.926,94.5075,-102.4925,5.4667,118.4138,101.9502,2.526
Ameer Abdullah,RB,DET,-17.2462,111.6097,81,188,34,3.1917,82.28,-105.72,7.8,122.2164,101.0029,2.5473
Tyler Lockett,WR,SEA,-65.2569,54.9054,242,708,91,0.4861,143.27,-564.73,2,65.1653,44.6455,5.596
John Crockett,RB,GB,-122.1058,6.75,null,1499,157,0.1362,152.34,-1438.66,0,13.8847,-0.3847,9.6768
Antwan Goodley,WR,DAL,-119.6161,0.5461,null,1456,253,0.4362,186.48,-1310.52,0,1.5261,-0.4339,7.6858
Rod Streater,WR,OAK,-65.6149,54.5473,250,711,92,0.8306,265.12,-445.88,0.5,64.692,44.4026,2.9587
Michael Campanaro,WR,BAL,-98.9363,21.226,null,1120,138,0.6495,280.02,-860.98,0.5,25.005,17.447,4.2036
Ryan Mathews,RB,PHI,-30.488,98.3678,109,295,40,3.9355,105.4275,-189.5725,4.6,110.1917,86.544,3.3761
Jermaine Kearse,WR,SEA,-49.9652,70.1971,212,526,75,0.5747,185.005,-340.995,1,76.868,63.5262,3.1792
Chris Matthews,WR,SEA,-80.0565,40.1058,236,875,111,1.8542,159.915,-715.085,1,50.521,29.6905,5.8453
Dan Herron,RB,IND,-59.7903,69.0656,217,642,56,2.5294,175.81,-466.19,1,79.0033,59.1278,3.8949
Owen Daniels,TE,DEN,-18.0299,85.3696,128,194,15,2.4488,117.85,-76.15,4.3,91.3161,79.4231,1.9976
Marqise Lee,WR,JAC,-43.1423,77.0199,171,430,64,2.3155,178.11,-251.89,1.5,83.1057,70.9342,2.7892
Andre Holmes,WR,OAK,-70.0496,50.1127,null,765,98,0.7412,260.76,-504.24,0.5,56.9226,43.3028,3.0864
Cole Beasley,WR,DAL,-45.1598,75.0025,202,462,65,0.6287,200.7,-261.3,1.5,80.1132,69.8917,2.5559
Brandon Coleman,WR,NO,-95.7944,24.3678,null,1077,133,1.869,213.22,-884.78,0.5,35.7112,13.0245,5.028
Robert Woods,WR,BUF,-52.5084,67.6538,219,557,81,1.5648,217.77,-339.23,1,77.3709,57.9367,2.6863
Vince Mayle,WR,CLE,-97.6257,22.5365,null,1097,134,0.339,120.79,-997.21,0.5,40.8389,4.2342,8.9508
Justin Blackmon,WR,JAC,-94.6406,25.5217,null,1066,131,1.0335,180.51,-906.49,1.5,63.1612,-12.1179,5.7731
Deontay Greenberry,WR,DAL,-119.3431,0.8192,null,1450,251,0.1423,174.09,-1316.91,0,2.2892,-0.6508,7.4992
Khiry Robinson,RB,NO,-77.4581,51.3977,196,850,72,0.6364,200.15,-649.85,1,61.8075,40.9879,4.1668
Davante Adams,WR,GB,-26.4387,93.7235,124,253,58,2.7982,107.2575,-145.7425,4.5667,103.9778,83.4693,2.6397
Thomas Rawls,RB,SEA,-110.8529,18.003,null,1275,117,1.4971,135.56,-1180.44,0.5,31.6831,4.3228,8.5752
Buccaneers,DEF,TB,-90.0522,108.7573,null,1002,17,0.2488,224.85,-798.15,0.5,135.8583,81.6563,8.6615
Shane Vereen,RB,NYG,-22.2019,106.654,102,219,36,4.48,93.9775,-125.0225,5.9,114.9469,98.361,2.4026
Phillip Dorsett,WR,IND,-54.295,65.8673,198,576,83,2.567,134.15,-441.85,3,74.3306,57.404,4.1726
Tavon Austin,WR,STL,-45.821,74.3412,253,474,67,0.4863,216.6,-257.4,1,80.0546,68.6279,2.1679
Cameron Artis-Payne,RB,CAR,-91.2108,37.645,209,1018,89,1.5018,134.375,-904.625,1,46.3839,28.9061,6.8439
DeAndre Carter,WR,BAL,-117.7265,2.4357,null,1417,239,0.0263,180.18,-1277.82,0.5,5.6635,-0.7921,6.5538
Fred Jackson,RB,BUF,-42.4273,86.4286,156,415,46,3.0494,147.0675,-267.9325,1.4,98.7739,74.0832,2.8106
Sammie Coates,WR,PIT,-82.1566,38.0056,null,899,113,2.6336,122.24,-776.76,1,47.9833,28.0279,6.6134
Antone Smith,RB,ATL,-83.7004,45.1555,248,918,77,1.2569,276.14,-641.86,0.5,53.3121,36.9988,2.8218
Tony Lippett,WR,MIA,-117.5276,2.6346,null,1409,236,0.1194,172.21,-1277.79,0,6.1259,-0.8567,6.431
Duke Johnson,RB,CLE,-41.1192,87.7366,125,396,44,0.6923,99.95,-296.05,2.9,101.8634,73.6097,3.7769
Justin Hunter,WR,TEN,-52.2844,67.8779,190,554,80,0.8956,192.01,-361.99,1.5,77.54,58.2158,2.5075
Jaelen Strong,WR,HOU,-57.8808,62.2814,186,625,87,1.32,131.015,-493.985,2,71.6397,52.9231,4.0632
Cody Latimer,WR,DEN,-42.2188,77.9434,153,412,63,1.9322,131.04,-280.96,2.7333,87.9334,67.9534,2.954
Aaron Dobson,WR,NE,-95.5537,24.6086,null,1074,132,1.1564,232.79,-862.21,0.5,35.8277,13.3895,3.7446
Titans,DEF,TEN,-99.012,99.7975,null,1122,25,0.0263,231.29,-911.71,0.5,133.3657,66.2293,8.0598
Josh Harper,WR,OAK,-116.9124,3.2499,null,1391,230,0.1271,170.36,-1261.64,0,7.4034,-0.9036,6.1222
Chris Conley,WR,KC,-68.8364,51.3258,244,750,97,1.4389,108.85,-641.15,1,62.019,40.6326,5.6248
Damien Williams,RB,MIA,-99.0847,29.7712,null,1127,98,0.592,270.05,-877.95,0.5,39.1245,20.4178,3.1973
Titus Davis,WR,SD,-118.2733,1.8889,null,1430,246,0.0909,157.03,-1313.97,0,5.6129,-1.8351,6.6411
Kevin White,WR,CHI,-15.5902,104.572,103,177,47,0.5887,75.865,-101.135,10.1667,112.6511,96.4929,1.8027
Rueben Randle,WR,NYG,-16.4469,103.7154,130,185,49,0.6853,136.5633,-48.4367,2.5,109.6692,97.7615,1.0335
Chris Polk,RB,HOU,-93.4382,35.4176,243,1047,91,1.0008,249.1,-818.9,0.5,48.4671,22.3681,3.1684
Michael Crabtree,WR,OAK,-33.5563,86.6059,151,321,61,6.5036,147.475,-173.525,1.6667,94.2188,78.993,1.9462
Kenny Britt,WR,STL,-27.5018,92.6604,169,264,59,4.7624,160.965,-103.035,1.5,97.1201,88.2007,1.4505
Andrew Hawkins,WR,CLE,-46.3665,73.7958,195,479,69,0.5627,228.33,-250.67,1,80.8983,66.6933,1.6353
Javorius Allen,RB,BAL,-66.7369,62.1189,218,720,64,0.951,140.715,-579.285,1.5,70.138,54.0998,3.7451
Zac Stacy,RB,NYJ,-87.6192,41.2366,214,966,84,0.7037,244.54,-721.46,0.5,54.2714,28.2018,2.8289
Harry Douglas,WR,TEN,-70.5011,49.6612,233,772,99,0.8466,274.64,-497.36,1,56.9218,42.4005,2.0528
Josh Robinson,RB,IND,-100.2579,28.5979,257,1146,100,2.9048,112.75,-1054.25,1.5,36.5503,20.6455,6.9837
Charles Sims,RB,TB,-29.9367,98.9192,112,289,39,2.137,113.6,-175.4,4.1,107.8131,90.0252,2.069
Roy Helu,RB,OAK,-54.5258,74.33,148,580,53,1.7541,154.115,-425.885,2,87.0926,61.5675,2.7415
Markus Wheaton,WR,PIT,-47.2386,72.9237,205,488,72,1.2541,188.845,-299.155,1.5,77.9297,67.9177,1.9326
Branden Oliver,RB,SD,-77.7037,51.1521,204,851,73,1.1537,196.46,-654.54,5.5,59.1056,43.1986,2.9852
Saints,DEF,NO,-99.6533,99.1562,null,1136,29,1.8658,229.02,-927.98,0.5,114.4696,83.8428,6.9405
Mohamed Sanu,WR,CIN,-57.6601,62.5021,227,621,86,0.5354,164.45,-456.55,1.5,72.9566,52.0476,2.6624
Bruce Ellington,WR,SF,-90.2798,29.8824,null,1008,120,1.3689,299.56,-729.44,0.5,36.3869,23.3779,2.245
Dwayne Bowe,WR,CLE,-25.4262,94.736,143,245,55,0.9484,154.2167,-90.7833,2,101.0955,88.3766,1.2202
Brian Hartline,WR,CLE,-50.4622,69.7,224,529,76,0.7276,262.01,-266.99,1.5,76.4391,62.9609,1.4238
Matt Jones,RB,WAS,-62.8036,66.0522,203,682,60,1.8947,138.685,-543.315,1.5,71.978,60.1263,3.21
Jets,DEF,NYJ,-90.255,108.5545,237,1007,18,0.5652,133.1533,-894.8467,1.6,139.2346,77.8744,10.165
Bryce Brown,RB,BUF,-117.5436,11.3123,null,1413,137,0.8499,254.71,-1199.29,0.5,17.731,4.8936,3.2419
