Year,Round,Pick #,Manager,Player,Team,POS,,,
2016,1,1,Chaz,Antonio Brown,Pit,WR,,,
2016,1,2,Mike,Julio Jones,Atl,WR,,,
2016,1,3,Rob,Odell Beckham Jr.,NYG,WR,,,
2016,1,4,Zach,Todd Gurley,LAR,RB,,,
2016,1,5,Sean,Adrian Peterson,NO,RB,,,
2016,1,6,Cory,David Johnson,Ari,RB,,,
2016,1,7,Trev,Le'Veon Bell,Pit,RB,,,
2016,1,8,Brandon,A.J. Green,Cin,WR,,,
2016,1,9,Jay,Allen Robinson,Jax,WR,,,
2016,1,10,Sammy,DeAndre Hopkins,Hou,WR,,,
2016,1,11,Fred,Randall Cobb,GB,WR,,,
2016,1,12,Kevin,Brandon Marshall,NYG,WR,,,
2016,2,13,Kevin,Dez Bryant,Dal,WR,,,
2016,2,14,Fred,C.J. Anderson,Den,RB,,,
2016,2,15,Sammy,Ezekiel Elliott,Dal,RB,,,
2016,2,16,Jay,Jordy Nelson,GB,WR,,,
2016,2,17,Brandon,T.Y. Hilton,Ind,WR,,,
2016,2,18,Trev,Amari Cooper,Oak,WR,,,
2016,2,19,Cory,Mike Evans,TB,WR,,,
2016,2,20,Sean,Alshon Jeffery,Phi,WR,,,
2016,2,21,Zach,Jamaal Charles,Den,RB,,,
2016,2,22,Rob,LeSean McCoy,Buf,RB,,,
2016,2,23,Mike,Keenan Allen,LAC,WR,,,
2016,2,24,Chaz,Devonta Freeman,Atl,RB,,,
2016,3,25,Chaz,Demaryius Thomas,Den,WR,,,
2016,3,26,Mike,Mark Ingram,NO,RB,,,
2016,3,27,Rob,Kelvin Benjamin,Car,WR,,,
2016,3,28,Zach,Brandin Cooks,NE,WR,,,
2016,3,29,Sean,Cam Newton,Car,QB,,,
2016,3,30,Cory,Thomas Rawls,Sea,RB,,,
2016,3,31,Trev,Jordan Reed,Was,TE,,,
2016,3,32,Brandon,Aaron Rodgers,GB,QB,,,
2016,3,33,Jay,Eddie Lacy,Sea,RB,,,
2016,3,34,Sammy,Sammy Watkins,Buf,WR,,,
2016,3,35,Fred,Golden Tate,Det,WR,,,
2016,3,36,Kevin,Lamar Miller,Hou,RB,,,
2016,4,37,Kevin,Rob Gronkowski,NE,TE,,,
2016,4,38,Fred,Doug Martin,TB,RB,,,
2016,4,39,Sammy,Jarvis Landry,Mia,WR,,,
2016,4,40,Jay,Ben Roethlisberger,Pit,QB,,,
2016,4,41,Brandon,Latavius Murray,Min,RB,,,
2016,4,42,Trev,Jeremy Maclin,KC,WR,,,
2016,4,43,Cory,Eric Decker,NYJ,WR,,,
2016,4,44,Sean,Julian Edelman,NE,WR,,,
2016,4,45,Zach,Drew Brees,NO,QB,,,
2016,4,46,Rob,Donte Moncrief,Ind,WR,,,
2016,4,47,Mike,Josh Gordon,Cle,WR,,,
2016,4,48,Chaz,Andrew Luck,Ind,QB,,,
2016,5,49,Chaz,Greg Olsen,Car,TE,,,
2016,5,50,Mike,Arian Foster,Mia,RB,,,
2016,5,51,Rob,Carlos Hyde,SF,RB,,,
2016,5,52,Zach,Allen Hurns,Jax,WR,,,
2016,5,53,Sean,Jonathan Stewart,Car,RB,,,
2016,5,54,Cory,Emmanuel Sanders,Den,WR,,,
2016,5,55,Trev,Dion Lewis,NE,RB,,,
2016,5,56,Brandon,Matt Forte,NYJ,RB,,,
2016,5,57,Jay,Doug Baldwin,Sea,WR,,,
2016,5,58,Sammy,Jeremy Hill,Cin,RB,,,
2016,5,59,Fred,Jordan Matthews,Phi,WR,,,
2016,5,60,Kevin,Melvin Gordon,LAC,RB,,,
2016,6,61,Kevin,Vincent Jackson,TB,WR,,,
2016,6,62,Fred,Delanie Walker,Ten,TE,,,
2016,6,63,Sammy,Travis Kelce,KC,TE,,,
2016,6,64,Jay,DeAngelo Williams,Pit,RB,,,
2016,6,65,Brandon,John Brown,Ari,WR,,,
2016,6,66,Trev,Matt Jones,Was,RB,,,
2016,6,67,Cory,Russell Wilson,Sea,QB,,,
2016,6,68,Sean,Tyler Eifert,Cin,TE,,,
2016,6,69,Zach,Larry Fitzgerald,Ari,WR,,,
2016,6,70,Rob,Tom Brady,NE,QB,,,
2016,6,71,Mike,Michael Crabtree,Oak,WR,,,
2016,6,72,Chaz,DeMarco Murray,Ten,RB,,,
2016,7,73,Chaz,DeVante Parker,Mia,WR,,,
2016,7,74,Mike,Blake Bortles,Jax,QB,,,
2016,7,75,Rob,Michael Floyd,Min,WR,,,
2016,7,76,Zach,Carolina,Car,DEF,,,
2016,7,77,Sean,DeSean Jackson,TB,WR,,,
2016,7,78,Cory,Marvin Jones Jr.,Det,WR,,,
2016,7,79,Trev,Stefon Diggs,Min,WR,,,
2016,7,80,Brandon,Jay Ajayi,Mia,RB,,,
2016,7,81,Jay,Danny Woodhead,Bal,RB,,,
2016,7,82,Sammy,Jeremy Langford,Chi,RB,,,
2016,7,83,Fred,Tyler Lockett,Sea,WR,,,
2016,7,84,Kevin,Darren Sproles,Phi,RB,,,
2016,8,85,Kevin,James Starks,GB,RB,,,
2016,8,86,Fred,Giovani Bernard,Cin,RB,,,
2016,8,87,Sammy,Markus Wheaton,Chi,WR,,,
2016,8,88,Jay,Devin Funchess,Car,WR,,,
2016,8,89,Brandon,Coby Fleener,NO,TE,,,
2016,8,90,Trev,Sterling Shepard,NYG,WR,,,
2016,8,91,Cory,Ryan Mathews,Phi,RB,,,
2016,8,92,Sean,Rashad Jennings,NYG,RB,,,
2016,8,93,Zach,Tavon Austin,LAR,WR,,,
2016,8,94,Rob,Carson Palmer,Ari,QB,,,
2016,8,95,Mike,Ameer Abdullah,Det,RB,,,
2016,8,96,Chaz,Charles Sims,TB,RB,,,
2016,9,97,Chaz,Dorial Green-Beckham,Phi,WR,,,
2016,9,98,Mike,Steve Smith Sr.,Bal,WR,,,
2016,9,99,Rob,Duke Johnson Jr.,Cle,RB,,,
2016,9,100,Zach,Gary Barnidge,Cle,TE,,,
2016,9,101,Sean,Stephen Gostkowski,NE,K,,,
2016,9,102,Cory,Antonio Gates,LAC,TE,,,
2016,9,103,Trev,Frank Gore,Ind,RB,,,
2016,9,104,Brandon,Corey Coleman,Cle,WR,,,
2016,9,105,Jay,Jared Cook,Oak,TE,,,
2016,9,106,Sammy,Chris Ivory,Jax,RB,,,
2016,9,107,Fred,Tevin Coleman,Atl,RB,,,
2016,9,108,Kevin,Derek Carr,Oak,QB,,,
2016,10,109,Kevin,Josh Doctson,Was,WR,,,
2016,10,110,Fred,Kevin White,Chi,WR,,,
2016,10,111,Sammy,Denver,Den,DEF,,,
2016,10,112,Jay,T.J. Yeldon,Jax,RB,,,
2016,10,113,Brandon,Jimmy Graham,Sea,TE,,,
2016,10,114,Trev,Kirk Cousins,Was,QB,,,
2016,10,115,Cory,Willie Snead,NO,WR,,,
2016,10,116,Sean,Seattle,Sea,DEF,,,
2016,10,117,Zach,Laquon Treadwell,Min,WR,,,
2016,10,118,Rob,Zach Ertz,Phi,TE,,,
2016,10,119,Mike,Julius Thomas,Mia,TE,,,
2016,10,120,Chaz,Travis Benjamin,LAC,WR,,,
2016,11,121,Chaz,Javorius Allen,Bal,RB,,,
2016,11,122,Mike,Justin Forsett,Den,RB,,,
2016,11,123,Rob,Mason Crosby,GB,K,,,
2016,11,124,Zach,Bilal Powell,NYJ,RB,,,
2016,11,125,Sean,Victor Cruz,NYG,WR,,,
2016,11,126,Cory,Chris Johnson,Ari,RB,,,
2016,11,127,Trev,LeGarrette Blount,NE,RB,,,
2016,11,128,Brandon,Kansas City,KC,DEF,,,
2016,11,129,Jay,Houston,Hou,DEF,,,
2016,11,130,Sammy,Darren McFadden,Dal,RB,,,
2016,11,131,Fred,Michael Thomas,NO,WR,,,
2016,11,132,Kevin,Green Bay,GB,DEF,,,
2016,12,133,Kevin,Mike Wallace,Bal,WR,,,
2016,12,134,Fred,Derrick Henry,Ten,RB,,,
2016,12,135,Sammy,Kamar Aiken,Ind,WR,,,
2016,12,136,Jay,Ladarius Green,Pit,TE,,,
2016,12,137,Brandon,New York,NYJ,DEF,,,
2016,12,138,Trev,Torrey Smith,Phi,WR,,,
2016,12,139,Cory,Nelson Agholor,Phi,WR,,,
2016,12,140,Sean,Cameron Artis-Payne,Car,RB,,,
2016,12,141,Zach,Steven Hauschka,Buf,K,,,
2016,12,142,Rob,Pierre Garcon,SF,WR,,,
2016,12,143,Mike,Arizona,Ari,DEF,,,
2016,12,144,Chaz,Justin Tucker,Bal,K,,,
2016,13,145,Chaz,New England,NE,DEF,,,
2016,13,146,Mike,Rishard Matthews,Ten,WR,,,
2016,13,147,Rob,Karlos Williams,Pit,RB,,,
2016,13,148,Zach,Tyler Boyd,Cin,WR,,,
2016,13,149,Sean,Jason Witten,Dal,TE,,,
2016,13,150,Cory,Philadelphia,Phi,DEF,,,
2016,13,151,Trev,Theo Riddick,Det,RB,,,
2016,13,152,Brandon,Ryan Tannehill,Mia,QB,,,
2016,13,153,Jay,Jameis Winston,TB,QB,,,
2016,13,154,Sammy,Dan Bailey,Dal,K,,,
2016,13,155,Fred,Joe Flacco,Bal,QB,,,
2016,13,156,Kevin,Ted Ginn Jr.,NO,WR,,,
2016,14,157,Kevin,Graham Gano,Car,K,,,
2016,14,158,Fred,Marcus Mariota,Ten,QB,,,
2016,14,159,Sammy,Tyrod Taylor,Buf,QB,,,
2016,14,160,Jay,Brandon McManus,Den,K,,,
2016,14,161,Brandon,Chris Boswell,Pit,K,,,
2016,14,162,Trev,Zach Miller,Chi,TE,,,
2016,14,163,Cory,Cairo Santos,KC,K,,,
2016,14,164,Sean,Matt Asiata,Min,RB,,,
2016,14,165,Zach,Philip Rivers,LAC,QB,,,
2016,14,166,Rob,Phillip Dorsett,Ind,WR,,,
2016,14,167,Mike,Chandler Catanzaro,NYJ,K,,,
2016,14,168,Chaz,Sammie Coates,Pit,WR,,,
2015,1,1,Rob,Adrian Peterson,NO,RB,,,
2015,1,2,Cory,Le'Veon Bell,Pit,RB,,,
2015,1,3,Ty,Jamaal Charles,Den,RB,,,
2015,1,4,Jay,Eddie Lacy,Sea,RB,,,
2015,1,5,Kevin,Antonio Brown,Pit,WR,,,
2015,1,6,Mike,Dez Bryant,Dal,WR,,,
2015,1,7,Trev,Marshawn Lynch,Oak,RB,,,
2015,1,8,Zach,Demaryius Thomas,Den,WR,,,
2015,1,9,Chaz,DeMarco Murray,Ten,RB,,,
2015,1,10,Sammy,Odell Beckham Jr.,NYG,WR,,,
2015,1,11,Fred,Aaron Rodgers,GB,QB,,,
2015,1,12,Sean,Rob Gronkowski,NE,TE,,,
2015,2,13,Sean,LeGarrette Blount,NE,RB,,,
2015,2,14,Fred,Mike Evans,TB,WR,,,
2015,2,15,Sammy,Jordy Nelson,GB,WR,,,
2015,2,16,Chaz,Randall Cobb,GB,WR,,,
2015,2,17,Zach,Julio Jones,Atl,WR,,,
2015,2,18,Trev,LeSean McCoy,Buf,RB,,,
2015,2,19,Mike,Andrew Luck,Ind,QB,,,
2015,2,20,Kevin,Matt Forte,NYJ,RB,,,
2015,2,21,Jay,C.J. Anderson,Den,RB,,,
2015,2,22,Ty,Calvin Johnson,Det,WR,,,
2015,2,23,Cory,A.J. Green,Cin,WR,,,
2015,2,24,Rob,Jeremy Hill,Cin,RB,,,
2015,3,25,Rob,Jimmy Graham,Sea,TE,,,
2015,3,26,Cory,Justin Forsett,Den,RB,,,
2015,3,27,Ty,Emmanuel Sanders,Den,WR,,,
2015,3,28,Jay,Alshon Jeffery,Phi,WR,,,
2015,3,29,Kevin,Alfred Morris,Dal,RB,,,
2015,3,30,Mike,DeAndre Hopkins,Hou,WR,,,
2015,3,31,Trev,Andre Johnson,Hou,WR,,,
2015,3,32,Zach,Melvin Gordon,LAC,RB,,,
2015,3,33,Chaz,Lamar Miller,Hou,RB,,,
