Year,POS,Player,Team,Num,Yds,Avg,FC,Lg,TD
2015,KR,Ameer Abdullah,Det,37,"1,077",29.11,0,104,0
2015,KR,Cordarrelle Patterson,Min,32,"1,019",31.84,0,101t,2
2015,KR,Tyler Lockett,Sea,33,852,25.82,0,105t,1
2015,KR,Taiwan Jones,Oak,31,829,26.74,0,70,0
2015,KR,Benny Cunningham,Stl,25,714,28.56,0,102,0
2015,KR,Rashad Ross,Was,28,684,24.43,0,101t,1
2015,KR,Bruce Ellington,SF,26,665,25.58,0,40,0
2015,KR,Dwayne Harris,NYG,22,631,28.68,0,100t,1
2015,KR,Knile Davis,KC,24,603,25.12,0,54,0
2015,KR,David Johnson,Ari,22,598,27.18,0,108t,1
2015,KR,Quan Bray,Ind,21,570,27.14,0,60,0
2015,KR,Raheem Mostert,Mia,19,530,27.89,0,53,0
2015,KR,Josh Huff,Phi,21,498,23.71,0,49,0
2015,KR,Jeremy Ross,Oak,19,470,24.74,0,46,0
2015,KR,Bobby Rainey,TB,19,469,24.68,0,38,0
2015,KR,Damien Williams,Mia,21,457,21.76,0,37,0
2015,KR,Lucky Whitehead,Dal,16,452,28.25,0,79,0
2015,KR,Marc Mariani,Chi,16,418,26.12,0,47,0
2015,KR,Jacoby Jones,SD,18,413,22.94,0,36,0
2015,KR,Brandon Tate,Cin,18,413,22.94,0,58,0
2015,KR,Deonte Thompson,Chi,14,409,29.21,0,74,0
2015,KR,Jeff Janis,GB,14,406,29,0,70,0
2015,KR,Eric Weems,Atl,15,403,26.87,0,50,0
2015,KR,Antonio Cromartie,NYJ,15,377,25.13,0,54,0
2015,KR,Dri Archer,Pit,14,354,25.29,0,38,0
2015,KR,Nick Marshall,Jax,13,346,26.62,0,36,0
2015,KR,Kaelin Clay,Bal,14,343,24.5,0,39,0
2015,KR,Omar Bolden,Den,15,342,22.8,0,41,0
2015,KR,Justin Gilbert,Cle,12,339,28.25,0,40,0
2015,KR,Keith Mumphery,Hou,14,338,24.14,0,41,0
2015,KR,Marcus Thigpen,Oak,18,330,18.33,0,31,0
2015,KR,Jarvis Landry,Mia,13,321,24.69,0,50,0
2015,KR,Shane Vereen,NYG,14,321,22.93,0,46,0
2015,KR,Marcus Murphy,NO,12,300,25,0,35,0
2015,KR,Dexter McCluster,Ten,13,285,21.92,0,32,0
2015,KR,Keshawn Martin,NE,10,257,25.7,0,75,0
2015,KR,Griff Whalen,Ind,9,244,27.11,0,50,0
2015,KR,Devin Hester,Atl,9,235,26.11,0,35,0
2015,KR,Adam Jones,Cin,10,235,23.5,0,49,0
2015,KR,Andre Roberts,Was,7,231,33,0,99t,1
2015,KR,Corey Grant,Jax,8,220,27.5,0,42,0
2015,KR,Ty Montgomery,GB,7,218,31.14,0,46,0
