Year,POS,Player,Team,PAT,FG,FG_0_19,FG_20_29,FG_30_39,FG_40_49,FG_50
2016,K,Matt Bryant,Atl,56,34,0,12,7,9,6
2016,K,Justin Tucker,Bal,27,38,0,4,10,14,10
2016,K,Dustin Hopkins,Was,36,34,0,12,12,7,3
2016,K,Caleb Sturgis,Phi,30,35,0,12,12,7,4
2016,K,Wil Lutz,NO,49,28,1,7,9,8,3
2016,K,Cairo Santos,KC,36,31,0,8,15,6,2
2016,K,Steven Hauschka,Sea,29,33,0,11,13,8,1
2016,K,Dan Bailey,Dal,46,27,0,9,8,7,3
2016,K,Stephen Gostkowski,NE,46,27,0,9,7,9,2
2016,K,Nick Novak,Hou,22,35,1,12,11,8,3
2016,K,Adam Vinatieri,Ind,44,27,0,3,7,10,7
2016,K,Sebastian Janikowski,Oak,37,29,1,9,6,10,3
2016,K,Matt Prater,Det,31,31,0,10,4,10,7
2016,K,Mason Crosby,GB,44,26,1,6,13,5,1
2016,K,Graham Gano,Car,31,30,0,4,9,14,3
2016,K,Josh Lambo,SD,42,26,0,7,13,6,0
2016,K,Brandon McManus,Den,32,29,0,9,10,7,3
2016,K,Jason Myers,Jax,29,27,0,7,3,10,7
2016,K,Chandler Catanzaro,Ari,43,21,1,5,6,6,3
2016,K,Nick Folk,NYJ,24,27,0,12,10,3,2
2016,K,Ryan Succop,Ten,39,22,1,4,6,8,3
2016,K,Chris Boswell,Pit,36,21,0,2,8,11,0
2016,K,Roberto Aguayo,TB,32,22,0,5,13,4,0
2016,K,Dan Carpenter,Buf,40,19,1,8,5,4,1
2016,K,Mike Nugent,Cin,23,23,0,9,9,5,0
2016,K,Andrew Franks,Mia,41,16,0,8,6,1,1
2016,K,Phil Dawson,SF,33,18,0,4,6,7,1
2016,K,Connor Barth,Chi,31,18,0,7,7,3,1
2016,K,Cody Parkey,Cle,20,20,0,6,6,7,1
2016,K,Greg Zuerlein,LA,23,19,0,5,9,3,2
2016,K,Kai Forbath,Min,11,15,0,5,5,4,1
2016,K,Blair Walsh,Min,15,12,1,1,5,4,1
2016,K,Robbie Gould,NYG,20,10,0,3,3,4,0
2016,K,Josh Brown,NYG,9,11,1,3,3,4,0
2016,K,Randy Bullock,Pit,9,8,0,4,2,2,0
2016,K,Patrick Murray,Cle,3,1,0,0,1,0,0
2015,K,Stephen Gostkowski,NE,52,33,0,6,11,12,4
2015,K,Graham Gano,Car,56,30,1,10,4,13,2
2015,K,Chandler Catanzaro,Ari,53,28,1,12,9,6,0
2015,K,Blair Walsh,Min,33,34,0,9,13,6,6
2015,K,Josh Brown,NYG,44,30,1,6,12,8,3
2015,K,Cairo Santos,KC,39,30,0,7,10,9,4
2015,K,Justin Tucker,Bal,29,33,0,10,9,10,4
2015,K,Robbie Gould,Chi,28,33,1,8,10,7,7
2015,K,Steven Hauschka,Sea,40,29,0,9,7,7,6
2015,K,Brandon McManus,Den,35,30,0,12,8,5,5
2015,K,Mike Nugent,Cin,48,23,0,6,5,10,2
2015,K,Dan Bailey,Dal,25,30,0,9,10,6,5
2015,K,Dustin Hopkins,Was,39,25,0,7,9,7,2
2015,K,Chris Boswell,Pit,26,29,1,9,8,9,2
2015,K,Jason Myers,Jax,32,26,0,9,8,6,3
2015,K,Mason Crosby,GB,36,24,1,7,4,8,4
2015,K,Adam Vinatieri,Ind,32,25,0,7,6,8,4
2015,K,Travis Coons,Cle,22,28,0,11,10,7,0
2015,K,Josh Lambo,SD,28,26,0,4,7,11,4
2015,K,Dan Carpenter,Buf,34,23,0,5,8,7,3
2015,K,Matt Prater,Det,36,22,0,3,8,6,5
2015,K,Sebastian Janikowski,Oak,38,21,0,7,5,5,4
2015,K,Connor Barth,TB,25,23,0,9,8,3,3
2015,K,Phil Dawson,SF,20,24,0,9,6,6,3
2015,K,Caleb Sturgis,Phi,35,18,0,4,8,4,2
2015,K,Greg Zuerlein,Stl,26,20,1,2,9,5,3
2015,K,Nick Novak,Hou,29,18,0,6,6,4,2
2015,K,Randy Bullock,NYJ,22,19,1,4,6,8,0
2015,K,Andrew Franks,Mia,33,13,1,3,4,4,1
2015,K,Ryan Succop,Ten,29,14,0,3,3,7,1
2015,K,Matt Bryant,Atl,26,14,1,4,3,6,0
2015,K,Kai Forbath,Was,34,10,0,2,3,3,2
2015,K,Nick Folk,NYJ,19,13,0,2,6,3,2
2015,K,Zach Hocker,Stl,12,10,0,3,5,1,1
2015,K,Shayne Graham,Atl,8,11,0,2,4,2,3
2015,K,Kyle Brindza,TB,6,6,0,1,2,1,2
2015,K,Josh Scobee,Pit,6,6,0,2,1,3,0
2015,K,Cody Parkey,Phi,7,3,0,1,1,1,0
2015,K,Ryan Quigley,NYJ,4,0,0,0,0,0,0
2014,K,Stephen Gostkowski,NE,51,35,1,11,10,12,1
2014,K,Cody Parkey,Phi,54,32,0,10,14,4,4
2014,K,Adam Vinatieri,Ind,50,30,0,10,10,7,3
