Year,POS,Player,Team,Num,Yds,Avg,FC,Lg,TD
2012,PR,Trindon Holliday,Hou,47,481,10.23,10,76t,1
2012,PR,Joshua Cribbs,Cle,38,457,12.03,8,60,0
2012,PR,Leodis McKelvin,Buf,23,431,18.74,14,88t,2
2012,PR,Patrick Peterson,Ari,51,426,8.35,14,26,0
2012,PR,Darius Reynaud,Ten,31,410,13.23,17,81t,2
2012,PR,Leon Washington,Sea,41,356,8.68,17,52,0
2012,PR,Dwayne Harris,Dal,22,354,16.09,11,78t,1
2012,PR,Jacoby Jones,Bal,37,341,9.22,16,63t,1
2012,PR,Devin Hester,Chi,40,331,8.28,6,44,0
2012,PR,Ted Ginn Jr.,SF,32,326,10.19,12,38,0
2012,PR,Marcus Thigpen,Mia,26,316,12.15,6,72t,1
2012,PR,Javier Arenas,KC,34,303,8.91,4,27,0
2012,PR,Adam Jones,Cin,26,301,11.58,0,81t,1
2012,PR,T.Y. Hilton,Ind,26,300,11.54,18,75t,1
2012,PR,Stefan Logan,Det,33,300,9.09,23,48,0
2012,PR,Roscoe Parrish,TB,30,298,9.93,15,39,0
2012,PR,Randall Cobb,GB,31,292,9.42,21,75t,1
2012,PR,Damaris Johnson,Phi,26,291,11.19,23,98t,1
2012,PR,Marcus Sherels,Min,32,287,8.97,27,77t,1
2012,PR,Keshawn Martin,Hou,22,267,12.14,10,71,0
2012,PR,Julian Edelman,NE,17,263,15.47,1,68t,1
2012,PR,Wes Welker,NE,25,243,9.72,7,31,0
2012,PR,Micheal Spurlock,SD,17,239,14.06,16,63t,1
2012,PR,Jeremy Kerley,NYJ,19,208,10.95,36,68t,1
2012,PR,Brandon Tate,Cin,21,187,8.9,11,32,0
2012,PR,Darren Sproles,NO,23,183,7.96,14,37,0
2012,PR,Antonio Brown,Pit,27,183,6.78,8,29,0
2012,PR,Brandon Banks,Was,26,178,6.85,5,27,0
2012,PR,Dominique Franks,Atl,21,163,7.76,18,28,0
2012,PR,Richard Crawford,Was,8,156,19.5,2,64,0
2012,PR,Travis Benjamin,Cle,3,149,49.67,1,93t,1
2012,PR,Phillip Adams,Oak,25,139,5.56,9,47,0
2012,PR,Joe Adams,Car,11,127,11.55,11,21,0
2012,PR,Danny Amendola,Stl,17,122,7.18,10,22,0
2012,PR,Rueben Randle,NYG,15,108,7.2,15,18,0
2012,PR,Jeremy Ross,GB,4,103,25.75,1,58,0
2012,PR,Emmanuel Sanders,Pit,9,93,10.33,9,63,0
2012,PR,Jim Leonhard,Den,15,89,5.93,16,16,0
2012,PR,Jordan Shipley,TB,13,85,6.54,2,15,0
2012,PR,Armanti Edwards,Car,2,77,38.5,2,69,0
2012,PR,Austin Pettis,Stl,11,77,7,9,23,0
2012,PR,Captain Munnerlyn,Car,14,72,5.14,5,20,0
2012,PR,Dez Bryant,Dal,12,66,5.5,2,44,0
2012,PR,Tommie Campbell,Ten,0,65,0,0,65t,1
2012,PR,Eddie Royal,SD,12,64,5.33,2,14,0
2012,PR,Mike Thomas,Jax,9,56,6.22,4,18,0
2012,PR,Tandon Doss,Bal,4,53,13.25,4,40,0
2012,PR,Kyle Williams,SF,4,52,13,6,20,0
2012,PR,Eric Weddle,SD,7,48,6.86,1,20,0
2012,PR,Quan Cosby,Jax,5,46,9.2,4,15,0
2012,PR,Janoris Jenkins,Stl,9,46,5.11,1,14,0
2012,PR,Harry Douglas,Atl,5,42,8.4,1,11,0
2012,PR,Domenik Hixon,NYG,5,36,7.2,4,10,0
2012,PR,Denarius Moore,Oak,9,32,3.56,4,19,0
2012,PR,Davone Bess,Mia,4,30,7.5,18,11,0
2012,PR,Kyle Wilson,NYJ,4,30,7.5,2,19,0
2012,PR,Devon Wylie,KC,5,26,5.2,2,13,0
2012,PR,Terrance Copper,KC,1,25,25,0,25,0
2012,PR,Eric Decker,Den,2,22,11,0,13,0
