Year,POS,Team,Tot Pts,Pts/G,Pts_0,Pts_1_6,Pts_7_13,Pts_14_20,Pts_21_27,Pts_28_34,Pts_34
2016,DEF,HOU,328,20.50,0,0,0,0,1,0,0
2016,DEF,ARI,362,22.60,0,0,0,0,1,0,0
2016,DEF,MIN,307,19.20,0,0,0,1,0,0,0
2016,DEF,DEN,297,18.60,0,0,0,1,0,0,0
2016,DEF,SEA,292,18.20,0,0,0,1,0,0,0
2016,DEF,JAX,400,25.00,0,0,0,0,1,0,0
2016,DEF,BAL,321,20.10,0,0,0,0,1,0,0
2016,DEF,NE,250,15.60,0,0,0,1,0,0,0
2016,DEF,LAR,394,24.60,0,0,0,0,1,0,0
2016,DEF,NYG,284,17.80,0,0,0,1,0,0,0
2016,DEF,NYJ,409,25.60,0,0,0,0,1,0,0
2016,DEF,PIT,327,20.40,0,0,0,0,1,0,0
2016,DEF,PHI,331,20.70,0,0,0,0,1,0,0
2016,DEF,DAL,306,19.10,0,0,0,1,0,0,0
2016,DEF,CHI,399,24.90,0,0,0,0,1,0,0
2016,DEF,SD,423,26.40,0,0,0,0,0,0,0
2016,DEF,CIN,315,19.70,0,0,0,1,0,0,0
2016,DEF,DET,358,22.40,0,0,0,0,1,0,0
2016,DEF,BUF,378,23.60,0,0,0,0,1,0,0
2016,DEF,TEN,378,23.60,0,0,0,0,1,0,0
2016,DEF,CAR,402,25.10,0,0,0,0,1,0,0
2016,DEF,GB,388,24.20,0,0,0,0,1,0,0
2016,DEF,TB,369,23.10,0,0,0,0,1,0,0
2016,DEF,KC,311,19.40,0,0,0,1,0,0,0
2016,DEF,ATL,406,25.40,0,0,0,0,1,0,0
2016,DEF,OAK,385,24.10,0,0,0,0,1,0,0
2016,DEF,NO,454,28.40,0,0,0,0,0,1,0
2016,DEF,WAS,383,23.90,0,0,0,0,1,0,0
2016,DEF,MIA,380,23.80,0,0,0,0,1,0,0
2016,DEF,IND,392,24.50,0,0,0,0,1,0,0
2016,DEF,CLE,452,28.20,0,0,0,0,0,1,0
2016,DEF,SF,480,30.00,0,0,0,0,0,1,0
2015,DEF,DEN,296,18.50,0,0,0,1,0,0,0
2015,DEF,SEA,277,17.30,0,0,0,1,0,0,0
