Year,POS,Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
2016,WR,T.Y. Hilton,Ind,16,91,"1,448",15.91,90.5,63t,6,66,155,342
2016,WR,Julio Jones,Atl,14,83,"1,409",16.98,100.6,75t,6,64,129,396
2016,WR,Odell Beckham Jr.,NYG,16,101,"1,367",13.53,85.4,75t,10,65,169,534
2016,WR,Mike Evans,TB,16,96,"1,321",13.76,82.6,45t,12,81,173,179
2016,WR,Antonio Brown,Pit,15,106,"1,284",12.11,85.6,51,12,64,154,437
2016,WR,Jordy Nelson,GB,16,97,"1,257",12.96,78.6,60,14,62,152,361
2016,WR,Brandin Cooks,NO,16,78,"1,173",15.04,73.3,98t,8,45,117,384
2016,WR,Amari Cooper,Oak,16,83,"1,153",13.89,72.1,64t,5,47,132,436
2016,WR,Michael Thomas,NO,15,92,"1,137",12.36,75.8,46,9,62,121,483
2016,WR,Jarvis Landry,Mia,16,94,"1,136",12.09,71,71,4,52,131,616
2016,WR,Doug Baldwin,Sea,16,94,"1,128",12,70.5,59,7,52,125,472
2016,WR,Travis Kelce,KC,16,85,"1,125",13.24,70.3,80t,4,55,117,633
2016,WR,Julian Edelman,NE,16,98,"1,106",11.29,69.1,77t,3,55,159,494
2016,WR,Demaryius Thomas,Den,16,90,"1,083",12.03,67.7,55t,5,50,144,322
2016,WR,Golden Tate,Det,16,91,"1,077",11.84,67.3,67,4,46,135,619
2016,WR,Greg Olsen,Car,16,80,"1,073",13.41,67.1,78t,3,54,129,352
2016,WR,Tyrell Williams,SD,16,69,"1,059",15.35,66.2,51t,7,48,119,433
2016,WR,Pierre Garcon,Was,16,79,"1,041",13.18,65.1,70t,3,52,114,342
2016,WR,Emmanuel Sanders,Den,16,79,"1,032",13.06,64.5,64,5,50,137,252
2016,WR,Larry Fitzgerald,Ari,16,107,"1,023",9.56,63.9,32,6,59,150,358
2016,WR,Mike Wallace,Bal,16,72,"1,017",14.12,63.6,95t,4,43,116,427
2016,WR,Terrelle Pryor,Cle,16,77,"1,007",13.08,62.9,54,4,48,140,226
2016,WR,DeSean Jackson,Was,15,56,"1,005",17.95,67,80t,4,35,100,281
2016,WR,Michael Crabtree,Oak,16,89,"1,003",11.27,62.7,56,8,56,145,252
2016,WR,Kenny Britt,LA,15,68,"1,002",14.74,66.8,66,5,47,111,295
2016,WR,Davante Adams,GB,16,75,997,13.29,62.3,66t,12,45,121,386
2016,WR,Adam Thielen,Min,16,69,967,14.01,60.4,71t,5,44,92,299
2016,WR,A.J. Green,Cin,10,66,964,14.61,96.4,54t,4,41,100,258
2016,WR,DeAndre Hopkins,Hou,16,78,954,12.23,59.6,51,4,56,151,279
2016,WR,Rishard Matthews,Ten,16,65,945,14.54,59.1,60,9,43,108,203
2016,WR,Kelvin Benjamin,Car,16,63,941,14.94,58.8,50,7,50,118,238
2016,WR,Marvin Jones,Det,15,55,930,16.91,62,73t,4,41,103,237
2016,WR,Jimmy Graham,Sea,16,65,923,14.2,57.7,42,6,45,95,325
2016,WR,Stefon Diggs,Min,13,84,903,10.75,69.5,46,3,47,112,319
2016,WR,Willie Snead,NO,15,72,895,12.43,59.7,49,4,51,104,387
2016,WR,Cameron Meredith,Chi,14,66,888,13.45,63.4,50t,4,44,97,309
2016,WR,Allen Robinson,Jax,16,73,883,12.1,55.2,42,6,51,151,210
2016,WR,David Johnson,Ari,16,80,879,10.99,54.9,58,4,42,120,661
2016,WR,Brandon LaFell,Cin,16,64,862,13.47,53.9,86t,6,42,107,344
2016,WR,Quincy Enunwa,NYJ,16,58,857,14.78,53.6,69t,4,37,105,352
2016,WR,Marqise Lee,Jax,16,63,851,13.51,53.2,51,3,44,105,338
2016,WR,Jamison Crowder,Was,16,67,847,12.64,52.9,55t,7,34,99,377
2016,WR,Kyle Rudolph,Min,16,83,840,10.12,52.5,44,7,50,132,359
2016,WR,Cole Beasley,Dal,16,75,833,11.11,52.1,47,5,51,98,427
2016,WR,Alshon Jeffery,Chi,12,52,821,15.79,68.4,54,2,41,94,199
2016,WR,Zach Ertz,Phi,14,78,816,10.46,58.3,30,4,42,106,263
2016,WR,Dontrelle Inman,SD,16,58,810,13.97,50.6,57t,4,37,97,214
2016,WR,Jordan Matthews,Phi,14,73,804,11.01,57.4,54,3,38,117,243
2016,WR,Delanie Walker,Ten,15,65,800,12.31,53.3,47,7,35,102,271
2016,WR,Steve Smith,Bal,14,70,799,11.41,57.1,52t,5,39,101,281
2016,WR,Dez Bryant,Dal,13,50,796,15.92,61.2,56,8,38,96,140
2016,WR,Brandon Marshall,NYJ,15,59,788,13.36,52.5,41,3,44,128,176
2016,WR,Ted Ginn Jr.,Car,16,54,752,13.93,47,88t,4,27,95,182
