Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name,
Surace,2016,6,1,avatar Poppy's Champions,Loss,89.44 - 99.46,89.44 , 99.46,-10.02,Poppy's Champions,Poppy's Champions,
Surace,2016,6,2,avatar richard,Win,84.62 - 72.96,84.62 , 72.96,11.66,richard,richard,
Surace,2016,6,3,avatar The Wolf of Greek St,Win,124.16 - 89.88,124.16, 89.88,34.28,The Wolf of Greek St,The Wolf of Greek St,
Surace,2016,6,4,avatar The Black Shepherd,Loss,90.02 - 125.52,90.02 ,125.52,-35.5,The Black Shepherd,The Black Shepherd,
Surace,2016,6,5,avatar The Mighty Albatross,Loss,99.66 - 116.40,99.66 ,116.40,-16.74,The Mighty Albatross,The Mighty Albatross,
Surace,2016,6,6,avatar The People's Champ,Loss,110.70 - 117.04,110.70,117.04,-6.34,The People's Champ,The People's Champ,
Surace,2016,6,7,avatar Commissioner Gordon,Win,131.84 - 120.62,131.84,120.62,11.22,Commissioner Gordon,Commissioner Gordon,
Surace,2016,6,8,avatar Black Mass,Loss,91.00 - 92.32,91.00 , 92.32,-1.32,Black Mass,Black Mass,
Surace,2016,6,9,avatar Dune Squad,Win,124.14 - 109.34,124.14,109.34,14.8,Dune Squad,Dune Squad,
Surace,2016,6,10,avatar GhostingTheLombardi,Win,127.98 - 105.54,127.98,105.54,22.44,GhostingTheLombardi,GhostingTheLombardi,
Surace,2016,6,11,avatar Milk Man,Win,116.50 - 109.08,116.50,109.08,7.42,Milk Man,Milk Man,
Surace,2016,6,12,avatar Poppy's Champions,Win,150.56 - 120.54,150.56,120.54,30.02,Poppy's Champions,Poppy's Champions,
Surace,2016,6,13,avatar richard,Loss,79.40 - 107.44,79.40 ,107.44,-28.04,richard,richard,
Commisioner Gordan,2016,6,1,avatar Black Mass,Win,149.12 - 107.46,149.12,107.46,41.66,Black Mass,Black Mass,
Commisioner Gordan,2016,6,2,avatar Dune Squad,Loss,87.32 - 106.68,87.32 ,106.68,-19.36,Dune Squad,Dune Squad,
Commisioner Gordan,2016,6,3,avatar GhostingTheLombardi,Win,124.54 - 81.80,124.54, 81.80,42.74,GhostingTheLombardi,GhostingTheLombardi,
Commisioner Gordan,2016,6,4,avatar Milk Man,Win,121.58 - 98.68,121.58, 98.68,22.9,Milk Man,Milk Man,
Commisioner Gordan,2016,6,5,avatar Poppy's Champions,Win,114.86 - 101.58,114.86,101.58,13.28,Poppy's Champions,Poppy's Champions,
Commisioner Gordan,2016,6,6,avatar richard,Win,100.60 - 96.00,100.60, 96.00,4.6,richard,richard,
Commisioner Gordan,2016,6,7,avatar Surace,Loss,120.62 - 131.84,120.62,131.84,-11.22,Surace,Surace,
Commisioner Gordan,2016,6,8,avatar The Black Shepherd,Loss,130.30 - 140.18,130.30,140.18,-9.88,The Black Shepherd,The Black Shepherd,
Commisioner Gordan,2016,6,9,avatar The Mighty Albatross,Loss,113.82 - 121.46,113.82,121.46,-7.64,The Mighty Albatross,The Mighty Albatross,
Commisioner Gordan,2016,6,10,avatar The People's Champ,Win,184.72 - 92.94,184.72, 92.94,91.78,The People's Champ,The People's Champ,
Commisioner Gordan,2016,6,11,avatar The Wolf of Greek St,Win,90.80 - 82.68,90.80 , 82.68,8.12,The Wolf of Greek St,The Wolf of Greek St,
Commisioner Gordan,2016,6,12,avatar Black Mass,Win,125.30 - 105.70,125.30,105.70,19.6,Black Mass,Black Mass,
Commisioner Gordan,2016,6,13,avatar Dune Squad,Loss,103.54 - 112.82,103.54,112.82,-9.28,Dune Squad,Dune Squad,
Black Mass,2016,6,1,avatar Commissioner Gordon,Loss,107.46 - 149.12,107.46,149.12,-41.66,Commissioner Gordon,Commissioner Gordon,
Black Mass,2016,6,2,avatar The Wolf of Greek St,Loss,96.06 - 113.16,96.06 ,113.16,-17.1,The Wolf of Greek St,The Wolf of Greek St,
Black Mass,2016,6,3,avatar Dune Squad,Win,116.36 - 104.44,116.36,104.44,11.92,Dune Squad,Dune Squad,
Black Mass,2016,6,4,avatar GhostingTheLombardi,Win,141.46 - 83.62,141.46, 83.62,57.84,GhostingTheLombardi,GhostingTheLombardi,
Black Mass,2016,6,5,avatar Milk Man,Loss,99.28 - 127.32,99.28 ,127.32,-28.04,Milk Man,Milk Man,
