Year,POS,Player,Team,Sack
2016,DEF,Casey Hayward,SD,0
2016,DEF,Dominique Rodgers-Cromartie,NYG,1
2016,DEF,Quintin Demps,Hou,0
2016,DEF,Marcus Peters,KC,0
2016,DEF,Jordan Hicks,Phi,1
2016,DEF,Landon Collins,NYG,4
2016,DEF,Reggie Nelson,Oak,0
2016,DEF,Ha Ha Clinton-Dix,GB,0.5
2016,DEF,Xavier Rhodes,Min,0
2016,DEF,Stephon Gilmore,Buf,0
2016,DEF,Tony Lippett,Mia,0
2016,DEF,Malcolm Butler,NE,1
2016,DEF,Keith Tandy,TB,0
2016,DEF,Brent Grimes,TB,0
2016,DEF,Richard Sherman,Sea,0
2016,DEF,C.J. Mosley,Bal,0
2016,DEF,Kurt Coleman,Car,1
2016,DEF,Eric Weddle,Bal,1
2016,DEF,Marcus Cooper,Ari,0
2016,DEF,Eric Berry,KC,0
2016,DEF,Ryan Shazier,Pit,3.5
2016,DEF,Perrish Cox,Ten,0
2016,DEF,Trae Waynes,Min,0
2016,DEF,Rodney McLeod,Phi,1
2016,DEF,Joe Haden,Cle,0
2016,DEF,Micah Hyde,GB,1
2016,DEF,Artie Burns,Pit,0
2016,DEF,D.J. Swearinger,Ari,2
2016,DEF,Shawn Williams,Cin,1
2016,DEF,Darius Butler,Ind,0
2016,DEF,George Iloka,Cin,0
2016,DEF,Dre Kirkpatrick,Cin,0
2016,DEF,Zach Orr,Bal,0
2016,DEF,Janoris Jenkins,NYG,1
2016,DEF,Patrick Peterson,Ari,0
2016,DEF,Bashaud Breeland,Was,1
2016,DEF,Thomas Davis,Car,2.5
2016,DEF,Darian Stewart,Den,0
2016,DEF,Josh Norman,Was,0
2016,DEF,Jamar Taylor,Cle,0
2016,DEF,Daniel Sorensen,KC,1
2016,DEF,Aqib Talib,Den,0
2016,DEF,Damarious Randall,GB,0
2016,DEF,Briean Boddy-Calhoun,Cle,1
2016,DEF,Malcolm Jenkins,Phi,1
2016,DEF,Deion Jones,Atl,0
2016,DEF,David Amerson,Oak,0
2016,DEF,T.J. McDonald,LA,1
2016,DEF,Glover Quin,Det,0
2016,DEF,Telvin Smith,Jax,1
2016,DEF,Corey White,Buf,0
2016,DEF,Jerraud Powers,Bal,1
